Hole_ID,X,Y,Z,Depth
DH001,250049.65399999998,350049.52300000004,197.737,27.5
DH002,250049.65999999997,350149.51900000125,179.951,30.0
DH003,250049.674,350249.60500000045,158.42,20.0
DH004,250149.70599999995,350049.54000000097,188.909,8.85
DH005,250149.66499999998,350149.6129999999,157.038,15.0
DH006,250149.647,350249.1129999999,157.664,16.5
DH007,250000.04699999996,350002.5030000005,201.293,15.0
DH008,250000.0,350054.98500000127,199.874,24.0
DH009,250003.69999999995,350075.07100000046,194.749,27.0
DH010,250000.98099999997,350201.6830000002,165.085,20.0
DH011,250026.136,350000.0,210.21,33.0
DH012,250024.35099999997,350048.55399999954,205.891,22.5
DH013,250023.354,350098.25400000066,191.699,38.7
DH014,250024.43199999997,350150.44299999997,178.184,41.5
DH015,250049.17199999996,350002.65300000086,206.659,16.2
DH016,250049.86899999995,350023.9299999997,203.649,13.0
DH017,250049.92099999997,350075.4740000013,193.089,23.5
DH018,250049.30699999997,350102.9639999997,188.759,25.5
DH019,250048.80699999997,350122.40699999966,184.609,19.0
DH020,250048.97199999995,350173.779000001,174.231,22.0
DH021,250049.59599999996,350201.6040000003,168.931,28.7
DH022,250050.05399999995,350299.11000000127,145.214,13.5
DH023,250049.53499999997,350323.11000000127,143.335,10.0
DH024,250049.65399999998,350349.5750000011,137.794,3.5
DH025,250052.37699999998,350371.94299999997,135.501,11.0
DH026,250046.957,350401.3629999999,131.846,9.0
DH027,250073.80599999998,350050.13200000115,188.107,9.0
DH028,250072.43999999994,350100.84500000067,180.734,11.0
DH029,250098.12199999997,350149.66600000113,165.743,19.0
DH030,250075.262,350198.284,158.492,17.0
DH031,250077.10199999996,350301.4079999998,139.066,13.5
DH032,250075.02499999997,350325.18400000036,137.153,8.0
DH033,250077.21499999997,350352.6710000001,135.261,4.0
DH034,250078.957,350379.25100000016,137.033,11.5
DH035,250079.245,350398.8900000006,139.993,22.5
DH036,250074.57399999996,350424.95800000057,134.496,15.0
DH037,250099.64899999998,350001.48699999973,195.318,6.0
