Hole_ID,From,To,Lithology
DH001,0.0,1.0,SOIL
DH001,1.0,2.0,LIMO
DH001,2.0,3.0,LIMO
DH001,3.0,4.0,LIMO
DH001,4.0,5.0,LIMO
DH001,5.0,6.0,LIMO
DH001,6.0,7.0,LIMO
DH001,7.0,8.0,LIMO
DH001,8.0,9.0,LIMO
DH001,9.0,10.0,LIMO
DH001,10.0,11.0,LIMO
DH001,11.0,12.0,LIMO
DH001,12.0,13.0,LIMO
DH001,13.0,14.0,SAP
DH001,14.0,15.0,SAP
DH001,15.0,16.0,SAP
DH001,16.0,17.0,SAP
DH001,17.0,18.0,SAP
DH001,18.0,19.0,SAP
DH001,19.0,19.5,SAP
DH001,19.5,20.0,SAP
DH001,20.0,20.5,BLD
DH001,20.5,21.0,BLD
DH001,21.0,22.0,SAP
DH001,22.0,23.0,SAP
DH001,23.0,24.0,SAP
DH001,24.0,24.4,SAP
DH001,24.4,25.0,BLD
DH001,25.0,26.0,BLD
DH001,26.0,26.5,SAP
DH001,26.5,27.5,BRK
DH002,0.0,1.0,SOIL
DH002,1.0,2.0,LIMO
DH002,2.0,3.0,LIMO
DH002,3.0,4.0,LIMO
DH002,4.0,5.0,LIMO
DH002,5.0,6.0,LIMO
DH002,6.0,7.0,LIMO
DH002,7.0,8.0,LIMO
DH002,8.0,9.0,LIMO
DH002,9.0,10.0,LIMO
DH002,10.0,11.0,LIMO
DH002,11.0,12.0,LIMO
DH002,12.0,13.0,LIMO
DH002,13.0,14.0,LIMO
DH002,14.0,15.0,LIMO
DH002,15.0,16.0,LIMO
DH002,16.0,17.0,LIMO
DH002,17.0,17.55,LIMO
DH002,17.55,18.0,SAP
DH002,18.0,19.0,SAP
DH002,19.0,20.0,SAP
DH002,20.0,21.0,SAP
DH002,21.0,22.0,SAP
DH002,22.0,23.0,SAP
DH002,23.0,24.0,SAP
DH002,24.0,25.0,SAP
DH002,25.0,26.0,SAP
DH002,26.0,27.0,BLD
DH002,27.0,28.0,SAP
DH002,28.0,29.0,BRK
DH002,29.0,30.0,BRK
DH003,0.0,1.0,SOIL
DH003,1.0,2.0,LIMO
DH003,2.0,3.0,LIMO
DH003,3.0,4.0,LIMO
DH003,4.0,5.0,LIMO
DH003,5.0,6.0,LIMO
DH003,6.0,7.0,LIMO
DH003,7.0,8.0,LIMO
DH003,8.0,9.0,LIMO
DH003,9.0,10.0,LIMO
DH003,10.0,11.0,LIMO
DH003,11.0,12.0,LIMO
DH003,12.0,13.0,LIMO
DH003,13.0,14.0,LIMO
DH003,14.0,15.0,LIMO
DH003,15.0,16.0,LIMO
DH003,16.0,17.0,BLD
DH003,17.0,18.0,BLD
DH003,18.0,19.0,BLD
DH003,19.0,20.0,BRK
DH004,0.0,1.0,SOIL
DH004,1.0,2.0,LIMO
DH004,2.0,3.3,LIMO
DH004,3.3,4.0,SAP
DH004,4.0,5.0,SAP
DH004,5.0,6.0,SAP
DH004,6.0,7.0,BRK
DH004,7.0,8.0,BRK
DH004,8.0,8.85,BRK
DH005,0.0,1.0,SOIL
DH005,1.0,2.0,LIMO
DH005,2.0,3.0,LIMO
DH005,3.0,4.0,LIMO
DH005,4.0,5.0,LIMO
DH005,5.0,6.0,SAP
DH005,6.0,7.0,SAP
DH005,7.0,8.0,BLD
DH005,8.0,8.45,SAP
DH005,8.45,9.0,BLD
DH005,9.0,10.0,SAP
DH005,10.0,11.0,SAP
DH005,11.0,12.0,SAP
DH005,12.0,12.5,SAP
DH005,12.5,13.0,RSAP
DH005,13.0,14.0,RSAP
DH005,14.0,15.0,RSAP
DH006,0.0,1.0,SOIL
DH006,1.0,1.3,SOIL
DH006,1.3,2.0,LIMO
DH006,2.0,3.0,LIMO
DH006,3.0,4.0,LIMO
DH006,4.0,5.0,LIMO
DH006,5.0,6.0,LIMO
DH006,6.0,7.0,LIMO
DH006,7.0,8.0,LIMO
DH006,8.0,9.0,LIMO
DH006,9.0,10.0,SAP
DH006,10.0,11.0,SAP
DH006,11.0,12.0,SAP
DH006,12.0,13.0,SAP
DH006,13.0,13.7,SAP
DH006,13.7,14.0,BLD
DH006,14.0,15.0,BRK
DH006,15.0,16.0,BRK
DH006,16.0,16.5,BRK
DH007,0.0,1.0,SOIL
DH007,1.0,2.0,LIMO
DH007,2.0,3.0,SAP
DH007,3.0,4.0,SAP
DH007,4.0,5.0,SAP
DH007,5.0,6.0,SAP
DH007,6.0,7.0,RSAP
DH007,7.0,8.0,RSAP
DH007,8.0,9.0,RSAP
DH007,9.0,10.0,RSAP
DH007,10.0,11.0,RSAP
DH007,11.0,12.0,RSAP
DH007,12.0,13.0,SAP
DH007,13.0,13.6,SAP
DH007,13.6,14.0,BRK
DH007,14.0,15.0,BRK
DH008,0.0,1.0,SOIL
DH008,1.0,2.0,LIMO
