Hole_ID,Depth,Azimuth,Dip
DH001,0,0,-90
DH002,0,0,-90
DH003,0,0,-90
DH004,0,0,-90
DH005,0,0,-90
DH006,0,0,-90
DH007,0,0,-90
DH008,0,0,-90
DH009,0,0,-90
DH010,0,0,-90
DH011,0,0,-90
DH012,0,0,-90
DH013,0,0,-90
DH014,0,0,-90
DH015,0,0,-90
DH016,0,0,-90
DH017,0,0,-90
DH018,0,0,-90
DH019,0,0,-90
DH020,0,0,-90
DH021,0,0,-90
DH022,0,0,-90
DH023,0,0,-90
DH024,0,0,-90
DH025,0,0,-90
DH026,0,0,-90
DH027,0,0,-90
DH028,0,0,-90
DH029,0,0,-90
DH030,0,0,-90
DH031,0,0,-90
DH032,0,0,-90
DH033,0,0,-90
DH034,0,0,-90
DH035,0,0,-90
DH036,0,0,-90
DH037,0,0,-90
DH038,0,0,-90
DH039,0,0,-90
DH040,0,0,-90
DH041,0,0,-90
DH042,0,0,-90
DH043,0,0,-90
DH044,0,0,-90
DH045,0,0,-90
DH046,0,0,-90
DH047,0,0,-90
DH048,0,0,-90
DH049,0,0,-90
DH050,0,0,-90
DH051,0,0,-90
DH052,0,0,-90
DH053,0,0,-90
DH054,0,0,-90
DH055,0,0,-90
DH056,0,0,-90
DH057,0,0,-90
DH058,0,0,-90
DH059,0,0,-90
DH060,0,0,-90
DH061,0,0,-90
DH062,0,0,-90
DH063,0,0,-90
DH064,0,0,-90
DH065,0,0,-90
DH066,0,0,-90
DH067,0,0,-90
DH068,0,0,-90
DH069,0,0,-90
DH070,0,0,-90
DH071,0,0,-90
DH072,0,0,-90
DH073,0,0,-90
DH074,0,0,-90
DH075,0,0,-90
DH076,0,0,-90
DH077,0,0,-90
DH078,0,0,-90
DH079,0,0,-90
DH080,0,0,-90
DH081,0,0,-90
DH082,0,0,-90
DH083,0,0,-90
DH084,0,0,-90
DH085,0,0,-90
DH086,0,0,-90
DH087,0,0,-90
DH088,0,0,-90
DH089,0,0,-90
DH090,0,0,-90
DH091,0,0,-90
DH092,0,0,-90
DH093,0,0,-90
DH094,0,0,-90
DH095,0,0,-90
DH096,0,0,-90
DH097,0,0,-90
DH098,0,0,-90
DH099,0,0,-90
DH100,0,0,-90
DH101,0,0,-90
DH102,0,0,-90
DH103,0,0,-90
DH104,0,0,-90
DH105,0,0,-90
DH106,0,0,-90
DH107,0,0,-90
DH108,0,0,-90
DH109,0,0,-90
DH110,0,0,-90
DH111,0,0,-90
DH112,0,0,-90
DH113,0,0,-90
DH114,0,0,-90
DH115,0,0,-90
DH116,0,0,-90
DH117,0,0,-90
DH118,0,0,-90
DH119,0,0,-90
DH120,0,0,-90
DH121,0,0,-90
DH122,0,0,-90
DH123,0,0,-90
DH124,0,0,-90
DH125,0,0,-90
DH126,0,0,-90
DH127,0,0,-90
DH128,0,0,-90
DH129,0,0,-90
DH130,0,0,-90
DH131,0,0,-90
DH132,0,0,-90
DH133,0,0,-90
DH134,0,0,-90
DH135,0,0,-90
DH136,0,0,-90
DH137,0,0,-90
DH138,0,0,-90
DH139,0,0,-90
DH140,0,0,-90
DH141,0,0,-90
DH142,0,0,-90
DH143,0,0,-90
DH144,0,0,-90
DH145,0,0,-90
DH146,0,0,-90
DH147,0,0,-90
DH148,0,0,-90
DH149,0,0,-90
DH150,0,0,-90
DH151,0,0,-90
DH152,0,0,-90
DH153,0,0,-90
DH154,0,0,-90
DH155,0,0,-90
DH156,0,0,-90
DH157,0,0,-90
DH158,0,0,-90
DH159,0,0,-90
DH160,0,0,-90
DH161,0,0,-90
DH162,0,0,-90
DH163,0,0,-90
DH164,0,0,-90
DH165,0,0,-90
DH166,0,0,-90
DH167,0,0,-90
DH168,0,0,-90
DH169,0,0,-90
DH170,0,0,-90
DH171,0,0,-90
DH172,0,0,-90
DH173,0,0,-90
DH174,0,0,-90
DH175,0,0,-90
DH176,0,0,-90
DH177,0,0,-90
DH178,0,0,-90
DH179,0,0,-90
DH180,0,0,-90
DH181,0,0,-90
DH182,0,0,-90
DH183,0,0,-90
DH184,0,0,-90
DH185,0,0,-90
DH186,0,0,-90
DH187,0,0,-90
DH188,0,0,-90
DH189,0,0,-90
DH190,0,0,-90
DH191,0,0,-90
DH192,0,0,-90
DH193,0,0,-90
DH194,0,0,-90
DH195,0,0,-90
DH196,0,0,-90
DH197,0,0,-90
DH198,0,0,-90
DH199,0,0,-90
DH200,0,0,-90
DH201,0,0,-90
DH202,0,0,-90
DH203,0,0,-90
DH204,0,0,-90
DH205,0,0,-90
DH206,0,0,-90
DH207,0,0,-90
DH208,0,0,-90
DH209,0,0,-90
DH210,0,0,-90
DH211,0,0,-90
DH212,0,0,-90
DH213,0,0,-90
DH214,0,0,-90
DH215,0,0,-90
DH216,0,0,-90
DH217,0,0,-90
DH218,0,0,-90
DH219,0,0,-90
DH220,0,0,-90
DH221,0,0,-90
DH222,0,0,-90
DH223,0,0,-90
DH224,0,0,-90
DH225,0,0,-90
DH226,0,0,-90
DH227,0,0,-90
DH228,0,0,-90
DH229,0,0,-90
DH230,0,0,-90
DH231,0,0,-90
DH232,0,0,-90
DH233,0,0,-90
DH234,0,0,-90
DH235,0,0,-90
DH236,0,0,-90
DH237,0,0,-90
DH238,0,0,-90
DH239,0,0,-90
DH240,0,0,-90
DH241,0,0,-90
DH242,0,0,-90
DH243,0,0,-90
DH244,0,0,-90
DH245,0,0,-90
DH246,0,0,-90
DH247,0,0,-90
DH248,0,0,-90
DH249,0,0,-90
DH250,0,0,-90
